card_id,customer_id,lastname,firstname,email,address,birthday,country
210,1,Lewis,Javier,Javier.Lewis@VFAxlnZEvOx.org,Suite M 916 5th Fifth Road Midway United States,11/2/1935,United States
369,2,Moses,Amy,Amy.Moses@Ovk9KjHH.com,,7/22/1965,United States
627,3,Hamilton,Latisha,Latisha.Hamilton@V.com,Suite 60 3 6th Cedar Pkwy Jamestown United States,2/10/1978,United States
462,4,White,Michael,Michael.White@i.org,Suite 30 374 River  Court Riverside United States,5/24/1982,United States
613,5,Moran,Robert,Robert.Moran@Hh.edu,Suite 40 355 8th  Ln Concord United States,6/22/1955,United States
492,6,Sharp,Brunilda,Brunilda.Sharp@T3pylZEUQjm.org,Suite G 169 Adams 7th Ave Spring Valley United States,11/2/1924,United States
682,7,Wiles,Fonda,Fonda.Wiles@S9KnyEtz9hv.org,Suite 350 493 Madison Park Road Pleasant Grove United States,7/7/1984,United States
523,8,Shipman,Ollie,Ollie.Shipman@be.org,Suite 440 158 Forest Park Street Five Forks United States,11/2/1937,United States
6,9,Gilbert,Karl,Karl.Gilbert@Crg5KyP2IxX9C4d6.edu,Suite O 336 South Adams Avenue Lakeview United States,11/1/1965,United States
789,10,Brunson,Albert,Albert.Brunson@62.com,Suite 280 979 River  Cir. Pierce United States,11/1/1972,United States
611,11,Williams,Betty,Betty.Williams@xRtDqM1eLBVQNoYAJ.com,Suite U 427 8th  RD Jamestown United States,11/2/1962,United States
157,12,Farias,Margaret,Margaret.Farias@cb.edu,Suite E 268 Oak  Street Oakland United States,5/29/1955,United States
555,13,Grimes,Rosalinda,Rosalinda.Grimes@tC8pcU7Lt.edu,Suite U 535 Mill  Road Stringtown United States,8/30/1969,United States
668,14,Wilcox,Jack,Jack.Wilcox@Y3Etqyv3.org,Suite 0 415 Sunset  Ln Green Acres United States,8/1/1936,United States
739,15,,Tonya,,Suite X 451 Center  Wy Clinton United States,,United States
95,16,Browning,Margie,Margie.Browning@LM674NrE2.org,Suite 310 124 Park  Cir. Five Forks United States,11/2/1932,United States
112,17,Stovall,Lee,Lee.Stovall@fqKC83UU0f.org,Suite 240 128 Park Spring Avenue Mount Olive United States,11/2/1971,United States
151,18,Lynch,Brad,Brad.Lynch@nAbai.edu,,2/27/1949,United States
237,19,Moore,Andre,Andre.Moore@cTZLGYi1ZJi.org,Suite 470 542 Highland  RD Liberty United States,11/1/1977,United States
491,20,Dallas,Stanton,Stanton.Dallas@DBXgl18FGo.edu,Suite 490 851 Ash Second Pkwy Waterloo United States,6/13/1975,United States
70,21,Barnett,Naomi,Naomi.Barnett@2T3V3OZOy4KBNAHsT.edu,Suite W 816 Spruce Elm Wy Tracy United States,6/12/1955,United States
645,22,Martinez,Victor,Victor.Martinez@fC.edu,Suite L 169 Pine Johnson Ct. Empire United States,11/2/1990,United States
234,23,Garrison,,Earl.Garrison@G3sM4P.com,Suite 200 307 Pine Sycamore Blvd Florence United States,,United States
468,24,Morris,Paul,Paul.Morris@FMGalegqc3.com,Suite 490 488 6th 2nd Wy Glenwood United States,5/25/1950,United States
178,25,Mccormick,Nancy,Nancy.Mccormick@DA26I9ZArLF9rxJ6Z.edu,Suite N 675 Cedar 6th Cir. Jackson United States,11/1/1972,United States
951,26,Baker,Monique,Monique.Baker@9uEucNczY.org,Suite 480 739 Oak  Wy Sulphur Springs United States,5/17/1990,United States
